email,name,birthDate,password
test@gmail.com,test,1/1/2000,1234
caden@gmail.com,Caden,8/11/2006,123
anubal@gmail.com,Anubal walia,31/8/2026,123456
caden@gmail.com,Caden,12/8/2026,123457
gmail@gmail.com,Caden,19/8/2026,123456
kjhvcvkpojhghj@gmail.com,xp[pcxgh,31/8/2026,123456
krupa@gmail.com,krupa,31/8/2026,123456
dhruv@gmail.com,dhurv,31/8/2026,123456
krupat@gmail.com,krupa,2/9/2009,333333
sean@gmail.com,sean,31/8/2026,123456
nunu@gmail.com,anu,2/9/2026,123456
hwdas@gmail.com,adnks,3/1/2026,145678
